Au,Ag,Cu,Pt,Al,24-bit color,R,G,B
0.05,0.25,0.05,0.2,0.45,14865330,226,211,178
0.5,0.15,0.15,0.1,0.1,14865320,226,211,168
0.05,0.05,0.65,0.1,0.15,14864838,226,209,198
0.2,0.35,0.2,0.1,0.15,14864831,226,209,191
0.25,0.05,0.35,0.15,0.2,14864073,226,206,201
0.15,0.05,0.6,0.1,0.1,14864070,226,206,198
0.15,0.1,0.55,0.1,0.1,14864070,226,206,198
0.15,0.15,0.5,0.1,0.1,14864070,226,206,198
0.15,0.35,0.25,0.1,0.15,14864063,226,206,191
0.15,0.25,0.4,0.05,0.15,14863548,226,204,188
0.2,0.1,0.5,0.1,0.1,14863541,226,204,181
0.2,0.25,0.35,0.05,0.15,14862783,226,201,191
0.2,0.05,0.55,0.1,0.1,14862773,226,201,181
0.15,0.4,0.3,0.05,0.1,14862015,226,198,191
0.15,0.2,0.45,0.05,0.15,14862010,226,198,186
0.2,0.15,0.4,0.1,0.15,14862007,226,198,183
0.2,0.05,0.6,0.05,0.1,14860717,226,193,173
0.2,0.15,0.5,0.05,0.1,14860200,226,191,168
0.6,0.05,0.15,0.15,0.05,14856818,226,178,114
0.05,0.1,0.4,0.35,0.1,14736851,224,221,211
0.05,0.25,0.1,0.45,0.15,14736851,224,221,211
0.05,0.3,0.05,0.45,0.15,14736851,224,221,211
0.1,0.15,0.05,0.55,0.15,14736849,224,221,209
0.1,0.35,0.05,0.4,0.1,14736849,224,221,209
0.15,0.1,0.05,0.55,0.15,14736846,224,221,206
0.15,0.3,0.05,0.4,0.1,14736846,224,221,206
0.2,0.1,0.05,0.5,0.15,14736846,224,221,206
0.2,0.35,0.05,0.35,0.05,14736841,224,221,201
0.05,0.05,0.45,0.35,0.1,14736339,224,219,211
0.05,0.5,0.05,0.35,0.05,14736337,224,219,209
0.05,0.55,0.1,0.25,0.05,14736337,224,219,209
0.05,0.6,0.05,0.15,0.15,14736337,224,219,209
0.1,0.1,0.05,0.6,0.15,14736337,224,219,209
0.05,0.55,0.15,0.1,0.15,14736334,224,219,206
0.1,0.5,0.1,0.25,0.05,14736334,224,219,206
0.15,0.05,0.05,0.6,0.15,14736334,224,219,206
0.15,0.05,0.05,0.65,0.1,14736334,224,219,206
0.2,0.5,0.05,0.1,0.15,14736334,224,219,206
0.1,0.2,0.05,0.5,0.15,14736332,224,219,204
0.15,0.25,0.1,0.4,0.1,14736332,224,219,204
0.15,0.2,0.05,0.5,0.1,14736329,224,219,201
0.15,0.35,0.05,0.4,0.05,14736329,224,219,201
0.2,0.2,0.05,0.45,0.1,14736329,224,219,201
0.25,0.05,0.05,0.5,0.15,14736329,224,219,201
0.25,0.25,0.15,0.3,0.05,14736326,224,219,198
0.05,0.45,0.05,0.4,0.05,14735569,224,216,209
